,latitude,longitude,start_time,city_name,title,url,venue_name,venue_address,postal_code,all_day,calendar_count,comment_count
26,47.5436842,7.6058050999999995,2019-09-03 08:30:00,Basel,Fachkongress smartimmo.io 2019,http://eventful.com/events/fachkongress-smartimmoio-2019-/E0-001-127985234-0?utm_source=apis&utm_medium=apim&utm_campaign=apic,Smart City Lab Basel,Sankt Jakobs-Strasse 200,,0,,
27,47.5667,7.6,2019-09-04 19:00:00,Basel,Quickly Make Money Online - Online Webinar Basel,http://eventful.com/events/quickly-make-money-online-online-we-/E0-001-128312936-4@2019090419?utm_source=apis&utm_medium=apim&utm_campaign=apic,Museum of Contemporary Art,60 Sankt Alban-Rheinweg,,0,,
28,47.5667,7.6,2019-09-04 19:00:00,Basel,Round Table on International HR Topics,http://eventful.com/events/round-table-international-hr-topics-/E0-001-130283187-4?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
29,47.5667,7.6,2019-09-04 14:00:00,Basel,Phase 1: Success recruitment with reduced risk and cost,http://eventful.com/events/phase-1-success-recruitment-reduced-/E0-001-129704907-4@2019090414?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
30,47.5667,7.6,2019-09-04 14:00:00,Basel,Phase 3: Success employee expatriation and internationalized teambuilding with reduced risk and cost,http://eventful.com/events/phase-3-success-employee-expatriatio-/E0-001-129704946-3@2019090414?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
31,47.5667,7.6,2019-09-04 14:00:00,Basel,Phase 2: Success employee integration with effective actions and reduced cost,http://eventful.com/events/phase-2-success-employee-integration-/E0-001-129704928-7@2019090414?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
32,47.5667,7.6,2019-09-04 14:00:00,Basel,Phase 5: Success daily cross service collaboration for better productivity,http://eventful.com/events/phase-5-success-daily-cross-service-/E0-001-129705008-9@2019090414?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
33,47.5667,7.6,2019-09-04 19:00:00,Basel,People & Travel,http://eventful.com/events/people-travel-/E0-001-130273759-6?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA Basel,,,0,,
34,47.5437928,7.6071891,2019-09-04 18:30:00,Basel,Open Data Beer Nr. 8,http://eventful.com/events/open-data-beer-nr-8-/E0-001-128260077-4?utm_source=apis&utm_medium=apim&utm_campaign=apic,"Office Lab, Wolf-Areal, Basel","Basel , St. Jakobs-Strasse 200",,0,,
35,47.5667,7.6,2019-09-04 14:00:00,Basel,Phase 4: Success employee integration from day one following merger and acquisition,http://eventful.com/events/phase-4-success-employee-integration-/E0-001-129704976-4@2019090414?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA in Basel,,,0,,
36,47.5667,7.6,2019-09-05 19:00:00,Basel,People & Travel,http://eventful.com/events/people-travel-/E0-001-130274267-7@2019090519?utm_source=apis&utm_medium=apim&utm_campaign=apic,TBA Basel,,,0,,
